1.88	-4.20926	86.0119
1.89	-4.19943	85.8709
1.9	-4.18917	85.7292
1.91	-4.17847	85.5869
1.92	-4.16735	85.4441
1.93	-4.15579	85.3007
1.94	-4.14381	85.1567
1.95	-4.13139	85.0121
1.96	-4.11854	84.867
1.97	-4.10525	84.7213
1.98	-4.09153	84.575
1.99	-4.07738	84.4281
2	-4.06279	84.2807
2.01	-4.04777	84.1327
2.02	-4.03232	83.9842
2.03	-4.01643	83.8351
2.04	-4.0001	83.6854
2.05	-3.98334	83.5352
2.06	-3.96614	83.3845
2.07	-3.94851	83.2332
2.08	-3.93044	83.0813
2.09	-3.91194	82.9289
2.1	-3.893	82.7759
2.11	-3.87362	82.6225
2.12	-3.85381	82.4684
2.13	-3.83356	82.3139
2.14	-3.81288	82.1588
2.15	-3.79176	82.0031
2.16	-3.7702	81.847
2.17	-3.7482	81.6903
2.18	-3.72577	81.5331
2.19	-3.70291	81.3754
2.2	-3.6796	81.2171
2.21	-3.65586	81.0584
2.22	-3.63169	80.8991
2.23	-3.60708	80.7393
2.24	-3.58203	80.579
2.25	-3.55655	80.4182
2.26	-3.53063	80.2569
2.27	-3.50428	80.095
2.28	-3.47749	79.9327
2.29	-3.45027	79.7699
2.3	-3.42261	79.6066
2.31	-3.39452	79.4427
2.32	-3.36599	79.2784
2.33	-3.33703	79.1136
2.34	-3.30763	78.9483
2.35	-3.27781	78.7826
2.36	-3.24755	78.6163
2.37	-3.21685	78.4496
2.38	-3.18573	78.2824
2.39	-3.15417	78.1147
2.4	-3.12218	77.9465
2.41	-3.08976	77.7779
2.42	-3.05691	77.6088
2.43	-3.02363	77.4392
2.44	-2.98992	77.2692
2.45	-2.95578	77.0987
2.46	-2.92121	76.9277
2.47	-2.88622	76.7563
2.48	-2.85079	76.5844
2.49	-2.81494	76.4121
2.5	-2.77866	76.2393
2.51	-2.74195	76.066
2.52	-2.70482	75.8924
2.53	-2.66726	75.7182
2.54	-2.62928	75.5437
2.55	-2.59088	75.3687
2.56	-2.55205	75.1932
2.57	-2.5128	75.0173
2.58	-2.47312	74.841
2.59	-2.43303	74.6643
2.6	-2.39251	74.4871
2.61	-2.35158	74.3095
2.62	-2.31022	74.1314
2.63	-2.26845	73.953
2.64	-2.22625	73.7741
2.65	-2.18364	73.5948
2.66	-2.14062	73.4151
2.67	-2.09717	73.235
2.68	-2.05332	73.0545
2.69	-2.00904	72.8735
2.7	-1.96436	72.6922
2.71	-1.91926	72.5104
2.72	-1.87375	72.3283
2.73	-1.82783	72.1457
2.74	-1.78149	71.9627
2.75	-1.73475	71.7794
2.76	-1.6876	71.5956
2.77	-1.64004	71.4115
2.78	-1.59208	71.227
2.79	-1.5437	71.042
2.8	-1.49493	70.8567
2.81	-1.44575	70.671
2.82	-1.39616	70.485
2.83	-1.34617	70.2985
2.84	-1.29578	70.1117
2.85	-1.24499	69.9245
2.86	-1.1938	69.7369
2.87	-1.14221	69.549
2.88	-1.09023	69.3606
2.89	-1.03784	69.172
2.9	-0.985064	68.9829
2.91	-0.93189	68.7935
2.92	-0.878321	68.6037
2.93	-0.824359	68.4136
2.94	-0.770006	68.2231
2.95	-0.715261	68.0323
2.96	-0.660126	67.8411
2.97	-0.604602	67.6495
2.98	-0.54869	67.4576
2.99	-0.492392	67.2654
3	-0.435707	67.0728
3.01	-0.378638	66.8799
3.02	-0.321185	66.6866
3.03	-0.263349	66.493
3.04	-0.205132	66.299
3.05	-0.146534	66.1048
3.06	-0.0875569	65.9101
3.07	-0.0282012	65.7152
3.08	0.0315316	65.5199
3.09	0.0916406	65.3243
3.1	0.152125	65.1284
3.11	0.212983	64.9322
3.12	0.274213	64.7356
3.13	0.335816	64.5387
3.14	0.397788	64.3415
3.15	0.460131	64.144
3.16	0.522841	63.9461
3.17	0.585919	63.748
3.18	0.649362	63.5496
3.19	0.71317	63.3508
3.2	0.777342	63.1517
3.21	0.841876	62.9524
3.22	0.906772	62.7527
3.23	0.972028	62.5527
3.24	1.03764	62.3524
3.25	1.10361	62.1519
3.26	1.16994	61.951
3.27	1.23663	61.7499
3.28	1.30367	61.5484
3.29	1.37106	61.3467
3.3	1.4388	61.1447
3.31	1.50689	60.9424
3.32	1.57534	60.7398
3.33	1.64413	60.5369
3.34	1.71326	60.3337
3.35	1.78275	60.1303
3.36	1.85257	59.9266
3.37	1.92275	59.7226
3.38	1.99326	59.5184
3.39	2.06411	59.3138
3.4	2.1353	59.109
3.41	2.20684	58.904
3.42	2.2787	58.6986
3.43	2.35091	58.4931
3.44	2.42345	58.2872
3.45	2.49632	58.0811
3.46	2.56952	57.8747
3.47	2.64306	57.6681
3.48	2.71692	57.4612
3.49	2.79111	57.254
3.5	2.86563	57.0466
3.51	2.94048	56.839
3.52	3.01565	56.6311
3.53	3.09114	56.4229
3.54	3.16695	56.2145
3.55	3.24309	56.0059
3.56	3.31954	55.797
3.57	3.39631	55.5879
3.58	3.4734	55.3785
3.59	3.55081	55.1689
3.6	3.62853	54.9591
3.61	3.70656	54.749
3.62	3.78491	54.5387
3.63	3.86356	54.3282
3.64	3.94253	54.1174
3.65	4.0218	53.9064
3.66	4.10138	53.6952
3.67	4.18126	53.4837
3.68	4.26145	53.2721
3.69	4.34194	53.0602
3.7	4.42273	52.8481
3.71	4.50383	52.6357
3.72	4.58522	52.4232
3.73	4.66691	52.2104
