0	422.102	32.4494	200.002	50	3.06309	0.0419916	20001	-2
0.01	964.916	11.8274	200	-68385.4	5.72982e+06	1.19998e-14	957	0
0.02	536.363	28.6712	200	19.0677	0.445461	1.98535	472	0
0.03	210.327	19.1507	200	18.9366	0.43936	2.04088	280	0
0.04	831.489	36.8075	200	19.1402	0.448857	1.95542	472	0
0.05	423.322	25.2397	200	19.1496	0.449298	1.95159	637	0
0.06	791.815	42.7403	200	18.9366	0.43936	2.04088	280	0
0.07	338.701	36.6842	200	18.9366	0.43936	2.04088	280	0
0.08	212.964	28.4735	200	18.9366	0.43936	2.04088	280	0
0.09	355.376	35.7747	200	18.9366	0.43936	2.04088	280	0
0.1	429.719	12.9566	8.54137e+07	-3.42134e+06	6.12499e+15	0.000149188	20014	-2
0.11	986.84	37.9342	200	18.9366	0.43936	2.04088	280	0
0.12	970.336	18.9261	200	18.9366	0.43936	2.04088	446	0
0.13	950.658	43.2786	200	18.9366	0.43936	2.04088	280	0
0.14	962.474	47.0055	200	18.9366	0.43936	2.04088	280	0
0.15	422.102	13.5804	200	-23621.4	683638	8.42957e-13	1130	0
0.16	615.882	38.337	200	18.9366	0.43936	2.04088	446	0
0.17	976.904	25.8647	-28881.2	-74.0115	-969.168	-26338.3	20001	-2
0.18	906.369	26.961	200	18.9366	0.43936	2.04088	280	0
0.19	547.887	13.8978	2173.69	90.6024	109.31	5	20001	-2
0.2	786.419	23.2292	-7416.56	-36.0807	-59.1475	-7896.73	20001	-2
0.21	520.786	48.8208	200	18.9366	0.43936	2.04088	280	0
0.22	447.395	29.461	200	18.9366	0.43936	2.04087	280	0
0.23	894.211	10.1611	200	-71328.4	6.23361e+06	1.01386e-14	1124	0
0.24	358.501	49.1382	200	18.9366	0.43936	2.04088	280	0
0.25	628.407	38.508	200	18.9366	0.43936	2.04088	280	0
0.26	606.824	10.8496	200	-69662	5.94575e+06	1.11441e-14	1124	0
0.27	708.414	21.0514	200	88.9699	9.6984	0.00418848	1998	0
0.28	664.418	28.2623	200	18.9366	0.43936	2.04088	280	0
0.29	645.985	21.2796	508639	1143.85	4.07689e+06	2521.72	20001	-2
0.3	906.735	37.3446	300.306	21.6844	0.865053	4.01827	1161	0
0.31	345.756	24.0629	200	18.9366	0.43936	2.04087	280	0
0.32	407.55	32.1198	200	18.9366	0.43936	2.04088	280	0
0.33	460.433	27.3772	200	18.9366	0.43936	2.04088	280	0
0.34	335.698	20.181	200	18.9366	0.43936	2.04088	280	0
0.35	359.99	11.9117	200	-69051.3	5.84195e+06	1.15436e-14	1124	0
0.36	278.103	39.2111	200	18.9366	0.43936	2.04088	280	0
0.37	440.022	19.8379	200	18.9366	0.43936	2.04088	280	0
0.38	814.545	35.782	200	19.2673	0.454839	1.90433	638	0
0.39	694.082	33.9399	200	18.9638	0.440621	2.02921	625	0
0.4	468.807	27.6653	200	18.9366	0.43936	2.04088	280	0
0.41	675.039	48.4094	200	18.9366	0.43936	2.04087	280	0
0.42	361.699	30.9027	200	18.9366	0.43936	2.04088	280	0
0.43	770.696	22.5187	-53357.4	-100.806	-3321.61	-48259.7	20001	-2
0.44	690.323	12.9029	-1.0137e+07	20227.1	-2.54076e+10	-204.143	20001	-2
0.45	318.265	28.4429	200	18.9366	0.43936	2.04087	280	0
0.46	759.075	32.7949	200	18.9366	0.43936	2.04088	280	0
0.47	482.992	44.4615	200	18.9366	0.43936	2.04088	280	0
0.48	287.112	30.2948	200	18.9366	0.43936	2.04088	280	0
0.49	225.831	24.81	200	18.9366	0.43936	2.04088	280	0
