x = -20.6563	
0.0791602	
0.120791	
y = 4.76438	
f_calls = 100001
g_calls = 100001
Exit flag: -2

Accuracy: 30	
57	68	1	0.000359511
86	87	1	0.0342332
86	46	1	0.000250408
71	25	0	6.04552e-06
75	77	1	0.00441465
84	53	1	0.000497733
89	93	1	0.0849047
68	96	1	0.0246627
50	34	0	3.40102e-06
90	92	1	0.0817255
53	87	1	0.00259385
40	49	0	9.43415e-06
40	68	1	9.36239e-05
28	56	0	8.49904e-06
97	88	1	0.0872111
35	35	0	1.17054e-06
59	80	1	0.00179207
29	75	0	9.12921e-05
44	30	0	1.30467e-06
54	73	1	0.000518562
22	77	0	6.67897e-05
53	48	1	2.33972e-05
66	42	1	3.17198e-05
26	87	0	0.000306698
43	67	1	0.000105211
70	62	1	0.000487335
100	96	1	0.24152
64	56	1	0.000146875
79	82	1	0.0110108
48	91	1	0.00282998
82	79	1	0.00973064
44	52	1	1.86034e-05
50	45	1	1.28426e-05
95	53	1	0.00118813
28	45	0	2.25073e-06
37	38	0	1.97025e-06
71	81	1	0.00521038
26	34	0	5.08766e-07
75	54	1	0.000275513
35	98	1	0.00235655
23	49	0	2.45621e-06
87	99	1	0.140509
92	76	1	0.0148694
37	71	1	0.000106077
45	74	1	0.000287045
42	59	1	3.69861e-05
31	45	0	2.85404e-06
47	52	1	2.35899e-05
68	66	1	0.000674255
76	49	1	0.000163033
86	51	1	0.000457987
60	93	1	0.00925635
33	70	0	6.84957e-05
56	37	1	7.85702e-06
78	25	0	1.05216e-05
51	71	1	0.000321242
40	99	1	0.00394402
36	55	0	1.41886e-05
51	38	1	5.96792e-06
46	100	1	0.0071331
36	49	0	6.87367e-06
38	56	0	1.87566e-05
96	46	1	0.000552467
97	26	0	5.34223e-05
95	21	0	2.49277e-05
54	34	0	4.66793e-06
34	87	1	0.000577595
94	25	0	3.73365e-05
65	27	0	4.78717e-06
97	82	1	0.0442382
51	98	1	0.00831263
37	63	0	4.03625e-05
77	93	1	0.0346423
31	52	0	6.6477e-06
59	60	1	0.000160282
35	72	0	0.00010217
81	42	1	0.000103988
83	67	1	0.00248987
77	75	1	0.0040634
21	28	0	1.65909e-07
59	82	1	0.00228065
52	66	1	0.000190096
93	90	1	0.0814182
65	28	0	5.40179e-06
45	85	1	0.00108306
78	85	1	0.0145631
50	62	1	0.000100096
91	71	1	0.00756533
80	36	1	4.65451e-05
93	61	1	0.00266156
82	37	1	6.15297e-05
98	33	1	0.000134672
43	57	1	3.14414e-05
38	67	1	7.08239e-05
56	26	0	2.08071e-06
46	98	1	0.00561081
34	86	1	0.000511909
52	92	1	0.00437607
82	100	1	0.110457
74	87	1	0.0135243
