84.8689	-493.131	82.8689	5	
-21.2256	-19.2256	556.774	29	
10.8127	-23.1873	10.8127	8	
44.4502	44.4502	78.4502	12	
41.3007	-536.699	39.3007	17	
-3.57982	-3.57982	30.4202	30	
77.1355	43.1355	77.1355	13	
-52.5559	-50.5559	525.444	16	
47.1053	47.1053	81.1053	11	
-27.5063	-25.5063	550.494	17	
-45.2315	-43.2315	532.769	12	
-62.0655	-60.0655	515.935	8	
82.3542	-495.646	80.3542	13	
15.7018	-18.2982	15.7018	30	
70.8548	36.8548	70.8548	13	
-25.1259	-23.1259	552.874	17	
49.1928	49.1928	83.1928	7	
-17.3864	-17.3864	16.6136	17	
66.6616	32.6616	66.6616	12	
1.29704	-32.703	1.29704	7	
17.8259	-16.1741	17.8259	11	
64.6474	30.6474	64.6474	11	
61.8336	59.8336	63.8336	6	
76.7632	42.7632	76.7632	13	
54.2222	54.2222	88.2222	18	
30.0394	-547.961	28.0394	17	
-46.7025	-44.7025	531.298	16	
5.49028	-28.5097	5.49028	13	
-39.3841	-37.3841	538.616	13	
-72.7897	-70.7897	505.21	12	
-69.7562	-67.7562	508.244	8	
-83.5017	-81.5017	494.498	12	
-39.7443	-37.7443	538.256	13	
-44.2976	-42.2976	533.702	12	
86.3643	-491.636	84.3643	9	
-48.1307	-46.1307	529.869	27	
57.4389	57.4389	91.4389	11	
-89.0927	-87.0927	488.907	7	
-89.4284	-87.4284	488.572	8	
-80.4682	-78.4682	497.532	12	
-95.7457	-93.7457	482.254	12	
-91.1008	-89.1008	486.899	12	
-62.4439	-60.4439	515.556	13	
66.7165	32.7165	66.7165	8	
-94.7813	-92.7813	483.219	7	
-2.40181	-2.40181	31.5982	7	
-60.7166	-58.7166	517.283	12	
30.369	-547.631	28.369	16	
-9.00601	-9.00601	24.994	16	
-39.5001	-37.5001	538.5	13	
-61.2232	-59.2232	516.777	12	
-79.2291	-77.2291	498.771	8	
-7.46788	-7.46788	26.5321	7	
-80.755	-78.755	497.245	12	
27.4758	-550.524	25.4758	9	
-5.38041	-5.38041	28.6196	15	
46.9161	46.9161	80.9161	12	
41.2702	-536.73	39.2702	18	
67.2536	33.2536	67.2536	31	
73.7724	39.7724	73.7724	7	
-34.0373	-32.0373	543.963	18	
-41.258	-39.258	536.742	12	
58.5437	58.5437	92.5437	12	
-33.9885	-31.9885	544.012	7	
-0.900296	-2.9003	1.0997	13	
5.15458	-28.8454	5.15458	11	
55.6932	55.6932	89.6932	11	
43.9558	-534.044	41.9558	8	
-78.4661	-76.4661	499.534	38	
75.6584	41.6584	75.6584	13	
10.8249	-23.1751	10.8249	19	
38.4503	-539.55	36.4503	14	
79.1375	-498.862	77.1375	27	
17.539	-16.461	17.539	15	
27.4697	-550.53	25.4697	12	
2.63375	-31.3663	2.63375	16	
-78.869	-76.869	499.131	12	
-42.9975	-40.9975	535.002	8	
5.25224	-28.7478	5.25224	8	
-96.9848	-94.9848	481.015	13	
52.0371	52.0371	86.0371	11	
68.5415	34.5415	68.5415	18	
-43.2417	-41.2417	534.758	7	
-6.31428	-6.31428	27.6857	12	
-66.1184	-64.1184	511.882	13	
-6.92465	-6.92465	27.0754	12	
-21.9764	-19.9764	556.024	12	
30.0333	-547.967	28.0333	9	
70.1468	36.1468	70.1468	16	
11.2888	-22.7112	11.2888	9	
-46.3118	-44.3118	531.688	13	
78.1182	-499.882	76.1182	15	
2.5605	-31.4395	2.5605	15	
-21.8299	-19.8299	556.17	12	
-21.7444	-19.7444	556.256	8	
-23.9418	-21.9418	554.058	13	
-47.9659	-45.9659	530.034	14	
-74.7917	-72.7917	503.208	8	
-25.4738	-23.4738	552.526	8	
3.56761	-30.4324	3.56761	8	
